name,date,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,moonphase,pm25
dhaka,2024-04-29,104.4,85.4,92.8,111.5,101.8,105.7,75.0,62.0,0.0,0,0.0,22.4,13.9,203.6,1004.7,15.8,2.9,296.8,25.7,10,75,0.69,156
dhaka,2024-04-30,102.2,84.2,91.5,117.2,94.2,107.0,78.5,67.7,0.008,100,4.17,24.4,17.2,179.1,1001.2,19.3,3.0,291.6,25.2,10,100,0.72,156
dhaka,2024-05-01,103.9,83.4,92.4,107.5,95.8,102.6,73.0,59.2,0.004,100,4.17,21.9,16.1,191.3,1000.1,20.7,3.4,292.1,25.4,10,100,0.75,131
dhaka,2024-05-02,100.4,84.2,91.8,110.0,93.6,101.3,72.8,57.8,0.076,100,29.17,19.5,11.4,215.3,1000.8,44.2,2.9,240.5,20.6,8,100,0.79,148
dhaka,2024-05-03,98.6,77.0,88.1,107.8,77.0,94.5,72.3,62.6,0.052,100,25.0,22.4,11.4,157.6,1004.7,29.7,2.7,246.0,21.2,9,100,0.83,162
dhaka,2024-05-04,98.6,80.6,89.5,107.8,86.2,99.4,74.8,64.1,0.104,100,37.5,20.1,13.9,181.0,1005.4,58.5,2.9,217.8,18.6,9,75,0.86,155
dhaka,2024-05-05,96.9,73.5,86.7,110.0,73.5,95.3,74.7,69.1,1.532,100,70.83,30.6,24.2,187.6,1003.2,70.8,2.7,222.5,19.1,8,75,0.9,130
dhaka,2024-05-06,84.9,71.6,77.1,90.5,71.6,78.4,69.8,78.9,1.363,100,45.83,26.2,18.3,101.4,1006.7,85.9,2.8,151.5,13.0,7,100,0.93,122
dhaka,2024-05-07,89.7,71.6,80.4,91.9,71.6,82.1,67.8,67.4,1.048,100,29.17,21.7,13.9,69.3,1010.0,64.4,2.8,158.4,13.7,7,30,0.97,141
dhaka,2024-05-08,89.6,73.2,80.3,98.2,73.2,82.8,70.8,73.5,0.024,100,8.33,11.2,20.8,75.4,1010.1,79.6,2.7,248.5,21.3,9,10,0.0,153
dhaka,2024-05-09,92.2,75.2,82.7,98.7,75.2,85.6,70.4,67.9,0.012,100,12.5,12.3,9.2,238.2,1008.9,61.1,2.5,261.4,22.4,8,30,0.04,171
dhaka,2024-05-10,93.2,77.0,84.3,97.0,77.0,86.9,68.0,59.3,0.17,100,37.5,15.7,11.4,215.5,1009.3,43.7,2.6,236.4,20.4,9,10,0.07,149
dhaka,2024-05-11,86.4,71.9,80.6,93.0,71.9,84.3,72.8,77.8,0.189,100,29.17,15.7,10.3,120.3,1010.4,59.0,2.7,189.9,16.5,6,30,0.1,130
dhaka,2024-05-12,91.9,76.6,82.5,98.7,76.6,86.0,72.1,72.1,0.032,100,25.0,10.5,16.1,141.3,1010.3,34.5,2.8,238.6,20.6,9,30,0.13,155
dhaka,2024-05-13,91.6,77.0,85.0,100.9,77.0,90.9,73.7,70.3,0.012,100,12.5,11.4,6.9,193.7,1009.2,33.3,2.6,274.0,23.7,8,30,0.17,187
dhaka,2024-05-14,95.0,80.6,87.9,107.6,86.2,97.8,75.5,68.2,0.024,100,20.83,10.1,8.1,202.0,1008.7,38.3,2.8,263.6,22.7,9,10,0.2,143
dhaka,2024-05-15,95.8,82.4,88.8,110.0,88.3,99.4,75.6,65.9,0.012,100,4.17,12.8,9.2,214.1,1009.4,18.3,2.8,281.7,24.3,9,30,0.25,153
dhaka,2024-05-16,98.7,83.4,90.6,108.7,92.8,100.8,74.7,61.4,0.0,0,0.0,14.1,6.9,256.6,1008.3,29.5,2.9,295.7,25.4,9,10,0.26,143
dhaka,2024-05-17,98.2,84.2,90.4,113.6,95.2,104.7,77.9,68.0,0.008,100,8.33,16.6,10.3,213.5,1006.2,36.9,2.9,282.1,24.3,9,60,0.3,133
